,index,NAME,TIME W/ CUTS,CUTS OFF_FIRST ROUND,NODES W/ CUTS,NODES W/O CUTS,PLabel NN,PLabel ET,PLabel RF,Time Label,Minimum Time,Minimum Nodes,PTime RF,PTime NN,PTime ET,PNodes RF,PNodes NN,PNodes ET
45,45,neos-826224.mps.gz,26.7366056,32.979137599999994,1.0,1.0,0,1,1,1,26.7366056,1.0,26.7366056,32.979137599999994,26.7366056,1.0,1.0,1.0
46,46,csched008.mps.gz,914.4706658000001,1132.242039,56979.0,177227.0,1,1,1,1,914.4706658000001,56979.0,914.4706658000001,914.4706658000001,914.4706658000001,56979.0,56979.0,56979.0
47,47,neos-932721.mps.gz,8.2064298,10.788575,1.0,1.0,1,1,1,1,8.2064298,1.0,8.2064298,8.2064298,8.2064298,1.0,1.0,1.0
48,48,railway_8_1_0.mps.gz,191.2536998,182.73100040000003,516.0,7467.0,0,1,1,0,182.73100040000003,516.0,191.2536998,182.73100040000003,191.2536998,516.0,7467.0,516.0
49,49,rmatr100-p5.mps.gz,604.5766104,495.803906,405.0,395.0,0,1,0,0,495.803906,395.0,495.803906,495.803906,604.5766104,395.0,395.0,405.0
50,50,roll3000.mps.gz,71.6744988,18000.637399,2830.0,6158300.8,1,1,1,1,71.6744988,2830.0,71.6744988,71.6744988,71.6744988,2830.0,2830.0,2830.0
51,51,fast0507.mps.gz,254.52336720000002,367.1417536,708.0,1014.0,1,1,1,1,254.52336720000002,708.0,254.52336720000002,254.52336720000002,254.52336720000002,708.0,708.0,708.0
52,52,neos-5075914-elvire.mps.gz,18000.018050000002,2058.7460942,894869.0,231220.0,0,1,1,0,2058.7460942,231220.0,18000.018050000002,2058.7460942,18000.018050000002,894869.0,231220.0,894869.0
53,53,ns1208400.mps.gz,232.81875400000004,107.5382334,567.0,136.0,0,1,1,0,107.5382334,136.0,232.81875400000004,107.5382334,232.81875400000004,567.0,136.0,567.0
54,54,neos-555001.mps.gz,1.7564322,2001.5178371999998,1.0,693016.0,1,1,1,1,1.7564322,1.0,1.7564322,1.7564322,1.7564322,1.0,1.0,1.0
55,55,neos5.mps.gz,1984.8260904000003,595.2314183999999,4441157.0,1533055.0,0,0,0,0,595.2314183999999,1533055.0,595.2314183999999,595.2314183999999,595.2314183999999,1533055.0,1533055.0,1533055.0
56,56,fhnw-binpack4-48.mps.gz,62.761985800000005,66.9985272,24649.0,40138.0,0,1,1,1,62.761985800000005,24649.0,62.761985800000005,66.9985272,62.761985800000005,24649.0,40138.0,24649.0
57,57,neos-5115478-kaveri.mps.gz,18000.004478,12457.988381,3459077.4,2615641.0,0,1,0,0,12457.988381,2615641.0,12457.988381,12457.988381,18000.004478,2615641.0,2615641.0,3459077.4
