,NAME,RANDOM SEED,TIME W/ CUTS,NODES W/ CUTS,TIME W/O CUTS,NODES W/O CUTS,GAP W/ CUTS,GAP W/O CUTS,Minimum Time,Minimum Nodes
774,hanoi5.mps.gz,32,18000.0005,113735,18000.000819999997,156936,1e+20,1e+20,18000.0005,113735
775,hgms-det.mps.gz,2,18000.0037,2134376,18000.02105,3982742,0.007005313000000001,0.133716227,18000.0037,2134376
776,hgms-det.mps.gz,4,18000.00325,2209371,18000.01813,3794878,0.006926875999999999,0.133722471,18000.00325,2209371
777,hgms-det.mps.gz,8,18000.00547,2292897,18000.01832,3728388,0.006842638000000001,0.13372463099999998,18000.00547,2292897
778,hgms-det.mps.gz,16,18000.00474,2235745,18000.018219999998,3614736,0.006903839,0.133728942,18000.00474,2235745
779,hgms-det.mps.gz,32,18000.004080000002,2025736,18000.01701,3584862,0.007124133,0.133730176,18000.004080000002,2025736
780,highschool1-aigio.mps.gz,2,18000.01136,2,18000.41559,5,1e+20,1e+20,18000.01136,2
781,highschool1-aigio.mps.gz,4,18000.01145,2,18000.00376,7,1e+20,1e+20,18000.00376,2
782,highschool1-aigio.mps.gz,8,18000.00815,2,18000.00796,7,1e+20,1e+20,18000.00796,2
783,highschool1-aigio.mps.gz,16,18000.00388,2,18000.006980000002,7,1e+20,1e+20,18000.00388,2
784,highschool1-aigio.mps.gz,32,18000.00752,2,18000.011459999998,7,1e+20,1e+20,18000.00752,2
810,irish-electricity.mps.gz,2,18000.00161,12647,18000.001819999998,41209,0.082333456,0.036366403,18000.00161,12647
811,irish-electricity.mps.gz,4,18000.01378,13057,18000.0019,39456,0.08220481,0.036615742,18000.0019,13057
812,irish-electricity.mps.gz,8,18000.0045,12857,18000.00221,37153,0.08221764200000001,0.037010962,18000.00221,12857
813,irish-electricity.mps.gz,16,18000.00245,11130,18000.00165,36264,0.082786643,0.03718104,18000.00165,11130
814,irish-electricity.mps.gz,32,18000.00172,11050,18000.00199,38252,0.082789331,0.036792396,18000.00172,11050
825,ivu52.mps.gz,2,18000.00649,434,18000.01659,585,0.097045961,0.12428435800000001,18000.00649,434
826,ivu52.mps.gz,4,18000.00381,491,18000.00889,581,0.097042836,0.12428435800000001,18000.00381,491
827,ivu52.mps.gz,8,18000.01196,514,18000.01238,596,0.097042836,0.12428435800000001,18000.01196,514
828,ivu52.mps.gz,16,18000.00797,520,18000.00751,583,0.097042836,0.12428435800000001,18000.00751,520
829,ivu52.mps.gz,32,18000.0087,469,18000.037819999998,436,0.097045961,0.12429092,18000.0087,436
845,l2p2i.mps.gz,2,18000.001969999998,359347,18000.0058,362040,1e+20,3.666666667,18000.001969999998,359347
846,l2p2i.mps.gz,4,18000.00131,361104,18000.00507,378540,1e+20,3.666666667,18000.00131,361104
847,l2p2i.mps.gz,8,18000.00198,361931,18000.002930000002,373964,1e+20,3.666666667,18000.00198,361931
848,l2p2i.mps.gz,16,18000.00288,358553,18000.01984,373383,1e+20,3.666666667,18000.00288,358553
849,l2p2i.mps.gz,32,18000.001819999998,352244,18000.00204,341812,1e+20,3.666666667,18000.001819999998,341812
870,lectsched-5-obj.mps.gz,2,18000.011730000002,526086,18000.006540000002,326375,1.333333333,1.117647059,18000.006540000002,326375
871,lectsched-5-obj.mps.gz,4,18000.01572,526889,18000.009990000002,322581,1.333333333,1.117647059,18000.009990000002,322581
872,lectsched-5-obj.mps.gz,8,18000.01546,527671,18000.0069,323883,1.333333333,1.117647059,18000.0069,323883
873,lectsched-5-obj.mps.gz,16,18000.015480000002,524258,18000.008280000002,324870,1.333333333,1.117647059,18000.008280000002,324870
874,lectsched-5-obj.mps.gz,32,18000.01429,501414,18000.00645,321054,1.4,1.117647059,18000.00645,321054
