NAME,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,BEST SOLUTION,SOLUTION TIME,PRESOLVING TIME,BEST PRIMAL BOUND,GAP,No. OF CUTS GENERATED,No. OF CUTS APPLIED,No. OF CUTS PRESENT IN LP AT THE END,No. OF NODES,INITIAL LP TIME,TIME FIRST ROUND,TIME ROOT END,RANDOM SEED,CUT SETTING,STATUS,END
iis-glass-cov.mps.gz,13.460608514719016,0,0,13.46060851471902,21.0,566.466485,0.35367299999999996,21.0,0.0,10750,0,0,25501,0.26140599999999997,0,0,4,0,optimal,DONE
iis-hc-cov.mps.gz,9.517060774198477,0,0,9.517060774198493,17.0,2293.494053,0.797854,17.0,0.0,19448,0,0,76535,0.533471,0,0,4,0,optimal,DONE
irp.mps.gz,-8943293.133276382,0,0,12131.07520583333,12159.492835999996,17.866472,3.903679,12159.492835999996,0.0,117,0,0,10,1.817451,0,0,4,0,optimal,DONE
istanbul-no-cutoff.mps.gz,-3027.5614379769922,0,0,66.95965764528864,204.08174924146226,245.255614,4.181626,204.08174924146226,0.0,18613,0,0,1207,4.21623,0,0,4,0,optimal,DONE
k1mushroom.mps.gz,-4208.0,0,0,-4092.859678108002,-3288.0,2215.756016,2107.959181,-3288.0,0.0,10419,0,0,9,2108.194639,0,0,4,0,optimal,DONE
khb05250.mps.gz,95919464.0,0,0,95919464.0,106940226.0,2.256437,0.027129999999999998,106940226.0,0.0,100,0,0,1560,0.030166,0,0,4,0,optimal,DONE
l2p12.mps.gz,2.0,0,0,2.0,5.0,1455.629879,2.082449,5.0,0.0,29955,0,0,99012,1.999177,0,0,4,0,optimal,DONE
lectsched-1.mps.gz,0,0,0,0,0.0,261.114428,7.202769,0.0,0.0,14420,0,0,1410,7.334915,0,0,4,0,optimal,DONE
lectsched-2.mps.gz,0,0,0,0,0.0,10.039592,2.792892,0.0,0.0,8152,0,0,101,2.885964,0,0,4,0,optimal,DONE
lectsched-3.mps.gz,0,0,0,0,0.0,335.19328,6.89788,0.0,0.0,26371,0,0,678,6.890646,0,0,4,0,optimal,DONE
lectsched-4-obj.mps.gz,3.0,0,0,3.0,4.0,20.369184,1.141781,4.0,0.0,4723,0,0,1395,1.17843,0,0,4,0,optimal,DONE
